"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac"
"859","null","learn","18:04:19","5","5","5","learn","1","1","[0, 1, 2]","36","3","setsize","10S3A","sports","1","3","1","1","1"
"719","null","learn","18:04:19","8","8","8","learn","2","2","[0, 1, 2]","37","3","setsize","10S3A","sports","1","0","1","0","1"
"677","null","learn","18:04:19","2","2","2","learn","0","0","[0, 1, 2]","38","3","setsize","10S3A","sports","1","1","0","1","1"
"1236","null","learn","18:04:19","9","9","9","learn","2","2","[0, 1, 2]","39","3","setsize","10S3A","sports","1","0","0","0","1"
"719","null","learn","18:04:19","4","4","4","learn","1","1","[0, 1, 2]","40","4","setsize","10S3A","sports","1","1","1","1","1"
"715","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","41","4","setsize","10S3A","sports","1","2","0","1","1"
"577","null","learn","18:04:19","7","7","7","learn","2","2","[0, 1, 2]","42","4","setsize","10S3A","sports","1","0","1","0","1"
"271","null","learn","18:04:19","9","9","9","learn","2","2","[0, 1, 2]","43","4","setsize","10S3A","sports","1","0","0","0","1"
"691","null","learn","18:04:19","2","2","2","learn","0","0","[0, 1, 2]","44","4","setsize","10S3A","sports","1","1","0","1","1"
"222","null","learn","18:04:19","6","6","6","learn","2","2","[0, 1, 2]","45","4","setsize","10S3A","sports","1","0","1","0","1"
"989","null","learn","18:04:19","3","3","3","learn","1","1","[0, 1, 2]","46","4","setsize","10S3A","sports","1","1","1","1","1"
"762","null","learn","18:04:19","5","5","5","learn","1","1","[0, 1, 2]","47","4","setsize","10S3A","sports","1","0","0","0","1"
"563","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","48","4","setsize","10S3A","sports","1","1","0","1","1"
"1006","null","learn","18:04:19","8","8","8","learn","2","2","[0, 1, 2]","49","4","setsize","10S3A","sports","1","0","1","0","1"
"1163","null","learn","18:04:19","6","6","6","learn","2","2","[0, 1, 2]","50","5","setsize","10S3A","sports","1","0","0","0","1"
"685","null","learn","18:04:19","4","4","4","learn","1","1","[0, 1, 2]","51","5","setsize","10S3A","sports","1","1","1","1","1"
"1734","null","learn","18:04:19","3","3","3","learn","1","1","[0, 1, 2]","52","5","setsize","10S3A","sports","1","0","2","0","1"
"663","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","53","5","setsize","10S3A","sports","1","1","0","1","1"
"1215","null","learn","18:04:19","7","7","7","learn","2","2","[0, 1, 2]","54","5","setsize","10S3A","sports","1","2","2","1","1"
"589","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","55","5","setsize","10S3A","sports","1","3","0","1","1"
"915","null","learn","18:04:19","8","8","8","learn","2","2","[0, 1, 2]","56","5","setsize","10S3A","sports","1","4","2","1","1"
"611","null","learn","18:04:19","2","2","2","learn","0","0","[0, 1, 2]","57","5","setsize","10S3A","sports","1","5","0","1","1"
"770","null","learn","18:04:19","5","5","5","learn","1","1","[0, 1, 2]","58","5","setsize","10S3A","sports","1","6","1","1","1"
"506","null","learn","18:04:19","9","9","9","learn","2","2","[0, 1, 2]","59","5","setsize","10S3A","sports","1","0","1","0","1"
"648","null","learn","18:04:19","9","9","9","learn","2","2","[0, 1, 2]","60","6","setsize","10S3A","sports","1","0","0","0","1"
"576","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","61","6","setsize","10S3A","sports","1","1","0","1","1"
"840","null","learn","18:04:19","7","7","7","learn","2","2","[0, 1, 2]","62","6","setsize","10S3A","sports","1","0","0","0","1"
"1967","null","learn","18:04:19","3","3","3","learn","1","1","[0, 1, 2]","63","6","setsize","10S3A","sports","1","1","1","1","1"
"570","null","learn","18:04:19","5","5","5","learn","1","1","[0, 1, 2]","64","6","setsize","10S3A","sports","1","2","1","1","1"
"606","null","learn","18:04:19","4","4","4","learn","1","1","[0, 1, 2]","65","6","setsize","10S3A","sports","1","3","1","1","1"
"516","null","learn","18:04:19","2","2","2","learn","0","0","[0, 1, 2]","66","6","setsize","10S3A","sports","1","4","0","1","1"
"1044","null","learn","18:04:19","6","6","6","learn","2","2","[0, 1, 2]","67","6","setsize","10S3A","sports","1","5","2","1","1"
"733","null","learn","18:04:19","8","8","8","learn","2","2","[0, 1, 2]","68","6","setsize","10S3A","sports","1","0","1","0","1"
"511","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","69","6","setsize","10S3A","sports","1","1","0","1","1"
"543","null","learn","18:04:19","2","2","2","learn","0","0","[0, 1, 2]","70","7","setsize","10S3A","sports","1","2","0","1","1"
"617","null","learn","18:04:19","5","5","5","learn","1","1","[0, 1, 2]","71","7","setsize","10S3A","sports","1","3","1","1","1"
"543","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","72","7","setsize","10S3A","sports","1","4","0","1","1"
"626","null","learn","18:04:19","7","7","7","learn","2","2","[0, 1, 2]","73","7","setsize","10S3A","sports","1","0","1","0","1"
"605","null","learn","18:04:19","9","9","9","learn","2","2","[0, 1, 2]","74","7","setsize","10S3A","sports","1","0","0","0","1"
"832","null","learn","18:04:19","6","6","6","learn","2","2","[0, 1, 2]","75","7","setsize","10S3A","sports","1","0","1","0","1"
"613","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","76","7","setsize","10S3A","sports","1","1","0","1","1"
"815","null","learn","18:04:19","4","4","4","learn","1","1","[0, 1, 2]","77","7","setsize","10S3A","sports","1","2","1","1","1"
"1023","null","learn","18:04:19","8","8","8","learn","2","2","[0, 1, 2]","78","7","setsize","10S3A","sports","1","3","2","1","1"
"666","null","learn","18:04:19","3","3","3","learn","1","1","[0, 1, 2]","79","7","setsize","10S3A","sports","1","0","2","0","1"
"563","null","learn","18:04:19","2","2","2","learn","0","0","[0, 1, 2]","80","8","setsize","10S3A","sports","1","1","0","1","1"
"721","null","learn","18:04:19","9","9","9","learn","2","2","[0, 1, 2]","81","8","setsize","10S3A","sports","1","0","1","0","1"
"489","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","82","8","setsize","10S3A","sports","1","1","0","1","1"
"541","null","learn","18:04:19","5","5","5","learn","1","1","[0, 1, 2]","83","8","setsize","10S3A","sports","1","2","1","1","1"
