"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac","slider_start","pair_type"
"415","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","29","9","setsizechunk","3S","food","1","27","0","1","3","",""
"1015","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","30","10","setsizechunk","3S","food","1","28","2","1","3","",""
"1756","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","31","10","setsizechunk","3S","food","1","29","0","1","3","",""
"383","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","32","10","setsizechunk","3S","food","1","30","0","1","3","",""
"626","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","33","11","setsizechunk","3S","food","1","31","2","1","3","",""
"392","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","34","11","setsizechunk","3S","food","1","32","0","1","3","",""
"398","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","35","11","setsizechunk","3S","food","1","33","0","1","3","",""
"777","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","36","12","setsizechunk","3S","food","1","34","2","1","3","",""
"569","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","37","12","setsizechunk","3S","food","1","35","0","1","3","",""
"600","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","38","12","setsizechunk","3S","food","1","36","0","1","3","",""
"530","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","39","13","setsizechunk","3S","food","1","37","0","1","3","",""
"409","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","40","13","setsizechunk","3S","food","1","38","0","1","3","",""
"401","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","41","13","setsizechunk","3S","food","1","39","2","1","3","",""
"610","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","42","14","setsizechunk","3S","food","1","40","2","1","3","",""
"471","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","43","14","setsizechunk","3S","food","1","41","0","1","3","",""
"374","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","44","14","setsizechunk","3S","food","1","42","0","1","3","",""
"778","null","learn","12:28:35","2","2","2","learn","2","2","[0, 1, 2]","45","15","setsizechunk","3S","food","1","43","2","1","3","",""
"99","null","memory","12:28:35","2","钥匙","12","memory","99","","[]","90","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","0","峡谷","15","memory","99","","[]","91","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","9","清新","14","memory","99","","[]","92","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","8","深邃","8","memory","99","","[]","93","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","8","明亮","3","memory","99","","[]","94","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","8","笔墨","18","memory","99","","[]","95","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","8","雨伞","13","memory","99","","[]","96","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","1","书本","1","memory","99","","[]","97","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","1","窗帘","16","memory","99","","[]","98","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","1","电池","6","memory","99","","[]","99","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","0","山峰","5","memory","99","","[]","100","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","2","纸张","2","memory","99","","[]","101","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","9","广阔","4","memory","99","","[]","102","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","2","钢笔","17","memory","99","","[]","103","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","2","纸巾","7","memory","99","","[]","104","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","9","灯泡","9","memory","99","","[]","105","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","0","玻璃","10","memory","99","","[]","106","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","9","柔和","19","memory","99","","[]","107","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","1","沙漠","11","memory","99","","[]","108","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","0","湖泊","0","memory","99","","[]","109","0","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","1","沙漠","11","memory","99","","[]","110","1","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","0","湖泊","0","memory","99","","[]","111","1","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","1","窗帘","16","memory","99","","[]","112","1","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","9","柔和","19","memory","99","","[]","113","1","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","8","深邃","8","memory","99","","[]","114","1","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","9","清新","14","memory","99","","[]","115","1","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","0","山峰","5","memory","99","","[]","116","1","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","8","雨伞","13","memory","99","","[]","117","1","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","1","书本","1","memory","99","","[]","118","1","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","8","明亮","3","memory","99","","[]","119","1","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","2","纸巾","7","memory","99","","[]","120","1","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","2","钢笔","17","memory","99","","[]","121","1","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","9","灯泡","9","memory","99","","[]","122","1","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","9","广阔","4","memory","99","","[]","123","1","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","0","玻璃","10","memory","99","","[]","124","1","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","0","峡谷","15","memory","99","","[]","125","1","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","8","笔墨","18","memory","99","","[]","126","1","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","2","钥匙","12","memory","99","","[]","127","1","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","2","纸张","2","memory","99","","[]","128","1","setsizechunk","3S","food","1","","99","99","3","",""
"99","null","memory","12:28:35","1","电池","6","memory","99","","[]","129","1","setsizechunk","3S","food","1","","99","99","3","",""
"6487","42","recognition","12:28:35","1","窗帘","16","recognition","1","","[]","130","99","setsizechunk","3S","food","1","","","0","3","50","0"
"8460","16","recognition","12:28:35","2","明亮","3","recognition","0","","[]","131","99","setsizechunk","3S","food","1","","","1","3","50","3"
"3514","100","recognition","12:28:35","8","深邃","8","recognition","1","","[]","132","99","setsizechunk","3S","food","1","","","1","3","50","0"
"2248","100","recognition","12:28:35","9","灯泡","9","recognition","1","","[]","133","99","setsizechunk","3S","food","1","","","1","3","50","0"
"2167","100","recognition","12:28:35","9","柔和","19","recognition","1","","[]","134","99","setsizechunk","3S","food","1","","","1","3","50","0"
"2014","100","recognition","12:28:35","8","雨伞","13","recognition","1","","[]","135","99","setsizechunk","3S","food","1","","","1","3","50","0"
